username,date,product,rating,review,sentiment_result,confidence,sentiment
user_945c7358,2025-08-25,Infinix Note 30,3,It's okay — does the job but nothing special.,"{'label': 'NEGATIVE', 'score': 0.9885806441307068}",0.9885806441307068,NEGATIVE
user_5cf59f48,2025-01-31,Infinix Note 30,3,It's neither great nor terrible — decent mid-range option. Plenty of storage for apps and photos. Na real talk.,"{'label': 'NEGATIVE', 'score': 0.9681723117828369}",0.9681723117828369,NEGATIVE
user_58045b04,2025-10-13,Infinix Note 30,3,It's neither great nor terrible — decent mid-range option. Design feels cheap and plasticky.,"{'label': 'NEGATIVE', 'score': 0.9992732405662537}",0.9992732405662537,NEGATIVE
user_acdf75f0,2025-04-27,Infinix Note 30,3,Not bad for the price. Some lag when switching apps.,"{'label': 'NEGATIVE', 'score': 0.9911817312240601}",0.9911817312240601,NEGATIVE
user_49a9b296,2025-04-06,Infinix Note 30,4,"Great value. I recommend it to anyone looking for an affordable, powerful phone. Phone lags on heavy apps/gaming.","{'label': 'NEGATIVE', 'score': 0.9027783274650574}",0.9027783274650574,NEGATIVE
user_0461b142,2025-09-23,Infinix Note 30,5,Exceeded my expectations. Good performance and the camera is surprisingly good.,"{'label': 'POSITIVE', 'score': 0.9998700618743896}",0.9998700618743896,POSITIVE
user_789d8aed,2025-04-05,Infinix Note 30,3,Works as advertised. Might consider an upgrade later.,"{'label': 'NEGATIVE', 'score': 0.9881848096847534}",0.9881848096847534,NEGATIVE
user_b448899b,2025-09-10,Infinix Note 30,5,Solid device for the price. Battery life and display are impressive. No lag when using social apps.,"{'label': 'POSITIVE', 'score': 0.999681830406189}",0.999681830406189,POSITIVE
user_f279570f,2025-05-31,Infinix Note 30,3,Not bad for the price. Some lag when switching apps.,"{'label': 'NEGATIVE', 'score': 0.9911817312240601}",0.9911817312240601,NEGATIVE
user_5f9792a2,2025-03-25,Infinix Note 30,1,Battery died within a few months. Wouldn't buy again. No lag when using social apps.,"{'label': 'NEGATIVE', 'score': 0.9982878565788269}",0.9982878565788269,NEGATIVE
user_ed93150b,2024-11-21,Infinix Note 30,5,"Good phone, nice screen quality and the battery charges quickly.","{'label': 'POSITIVE', 'score': 0.9991574287414551}",0.9991574287414551,POSITIVE
user_028e7c42,2025-06-26,Infinix Note 30,5,Exceeded my expectations. Good performance and the camera is surprisingly good. Speakers sound tinny at high volume.,"{'label': 'POSITIVE', 'score': 0.9997479319572449}",0.9997479319572449,POSITIVE
user_b9d9f68a,2025-07-30,Infinix Note 30,1,Had many issues: random reboots and connectivity problems.,"{'label': 'NEGATIVE', 'score': 0.9996299743652344}",0.9996299743652344,NEGATIVE
user_94162ec6,2025-02-19,Infinix Note 30,3,Functionality is acceptable; build quality is average.,"{'label': 'POSITIVE', 'score': 0.991151750087738}",0.991151750087738,POSITIVE
user_a997a8ec,2025-01-15,Infinix Note 30,4,The phone arrived on time and works perfectly. Very satisfied.,"{'label': 'POSITIVE', 'score': 0.9998502731323242}",0.9998502731323242,POSITIVE
user_6fc2465d,2025-06-04,Infinix Note 30,3,"Fine for basic use, but not ideal for heavy gamers. Plenty of storage for apps and photos.","{'label': 'NEGATIVE', 'score': 0.9307345151901245}",0.9307345151901245,NEGATIVE
user_47ad1d22,2024-11-23,Infinix Note 30,1,Had many issues: random reboots and connectivity problems.,"{'label': 'NEGATIVE', 'score': 0.9996299743652344}",0.9996299743652344,NEGATIVE
user_b421da25,2025-04-14,Infinix Note 30,5,"Good phone, nice screen quality and the battery charges quickly. Delivery was fast and packaging was good.","{'label': 'POSITIVE', 'score': 0.9995998740196228}",0.9995998740196228,POSITIVE
